,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.314,https://api.spotify.com/v1/audio-analysis/4hCv07JQHyyOrC72WjeDuF,0.491,202547,0.776,4hCv07JQHyyOrC72WjeDuF,0.0,2,0.146,-3.887,1,0.0393,154.988,4,https://api.spotify.com/v1/tracks/4hCv07JQHyyOrC72WjeDuF,audio_features,spotify:track:4hCv07JQHyyOrC72WjeDuF,0.428
1,0.208,https://api.spotify.com/v1/audio-analysis/3ts6xK5GzfMAAriT9AIBmP,0.6,167427,0.808,3ts6xK5GzfMAAriT9AIBmP,0.0,4,0.196,-4.679,1,0.0403,172.016,4,https://api.spotify.com/v1/tracks/3ts6xK5GzfMAAriT9AIBmP,audio_features,spotify:track:3ts6xK5GzfMAAriT9AIBmP,0.809
2,0.0418,https://api.spotify.com/v1/audio-analysis/2yWtLaPCOUDyi7f1lOXCn5,0.475,209587,0.936,2yWtLaPCOUDyi7f1lOXCn5,0.0,5,0.0873,-2.545,1,0.0413,151.988,4,https://api.spotify.com/v1/tracks/2yWtLaPCOUDyi7f1lOXCn5,audio_features,spotify:track:2yWtLaPCOUDyi7f1lOXCn5,0.598
3,0.00251,https://api.spotify.com/v1/audio-analysis/4u5D3bBhlIVvnrSdNqKyER,0.432,199653,0.926,4u5D3bBhlIVvnrSdNqKyER,0.0,1,0.442,-3.269,0,0.0367,170.996,4,https://api.spotify.com/v1/tracks/4u5D3bBhlIVvnrSdNqKyER,audio_features,spotify:track:4u5D3bBhlIVvnrSdNqKyER,0.692
4,0.0343,https://api.spotify.com/v1/audio-analysis/7oizkVPKiJYU5CyTjrcVp0,0.576,194173,0.865,7oizkVPKiJYU5CyTjrcVp0,5.32e-05,0,0.252,-3.288,1,0.0407,119.913,4,https://api.spotify.com/v1/tracks/7oizkVPKiJYU5CyTjrcVp0,audio_features,spotify:track:7oizkVPKiJYU5CyTjrcVp0,0.535
5,0.392,https://api.spotify.com/v1/audio-analysis/391R7sGZ4SX7qPdpAsfiGW,0.61,220187,0.559,391R7sGZ4SX7qPdpAsfiGW,0.0,7,0.131,-6.524,1,0.0264,73.972,1,https://api.spotify.com/v1/tracks/391R7sGZ4SX7qPdpAsfiGW,audio_features,spotify:track:391R7sGZ4SX7qPdpAsfiGW,0.378
6,0.0118,https://api.spotify.com/v1/audio-analysis/7nIZkwdAjMW9DhFjKNXit2,0.609,197493,0.66,7nIZkwdAjMW9DhFjKNXit2,0.000296,2,0.149,-5.594,0,0.0229,90.007,4,https://api.spotify.com/v1/tracks/7nIZkwdAjMW9DhFjKNXit2,audio_features,spotify:track:7nIZkwdAjMW9DhFjKNXit2,0.594
7,0.00168,https://api.spotify.com/v1/audio-analysis/2S6WYQcSi6kOcgxxrbIo9P,0.495,208547,0.668,2S6WYQcSi6kOcgxxrbIo9P,4.38e-06,9,0.115,-5.967,0,0.0349,168.112,4,https://api.spotify.com/v1/tracks/2S6WYQcSi6kOcgxxrbIo9P,audio_features,spotify:track:2S6WYQcSi6kOcgxxrbIo9P,0.527
8,0.0418,https://api.spotify.com/v1/audio-analysis/5lcVmjJq1IrGYxpVLB0oKk,0.528,261000,0.641,5lcVmjJq1IrGYxpVLB0oKk,6.69e-05,4,0.0912,-7.559,0,0.0268,130.063,4,https://api.spotify.com/v1/tracks/5lcVmjJq1IrGYxpVLB0oKk,audio_features,spotify:track:5lcVmjJq1IrGYxpVLB0oKk,0.306
9,0.184,https://api.spotify.com/v1/audio-analysis/7suAnko5LULyo5RZ4T5n0X,0.525,260507,0.473,7suAnko5LULyo5RZ4T5n0X,0.000438,0,0.125,-6.454,1,0.0272,129.9,4,https://api.spotify.com/v1/tracks/7suAnko5LULyo5RZ4T5n0X,audio_features,spotify:track:7suAnko5LULyo5RZ4T5n0X,0.174
10,0.359,https://api.spotify.com/v1/audio-analysis/4xoO44RkJ5pT6iCooJ1ktj,0.611,217107,0.599,4xoO44RkJ5pT6iCooJ1ktj,0.0,0,0.171,-8.142,1,0.0324,90.5,4,https://api.spotify.com/v1/tracks/4xoO44RkJ5pT6iCooJ1ktj,audio_features,spotify:track:4xoO44RkJ5pT6iCooJ1ktj,0.688
11,0.027,https://api.spotify.com/v1/audio-analysis/37JR8raKlTSgWtu9PPe6kc,0.744,170413,0.72,37JR8raKlTSgWtu9PPe6kc,0.0,8,0.151,-7.239,1,0.0264,112.027,4,https://api.spotify.com/v1/tracks/37JR8raKlTSgWtu9PPe6kc,audio_features,spotify:track:37JR8raKlTSgWtu9PPe6kc,0.774
12,0.251,https://api.spotify.com/v1/audio-analysis/39FwE8edwuyiaa4PrGBkP7,0.611,288760,0.688,39FwE8edwuyiaa4PrGBkP7,2.35e-06,2,0.248,-6.369,1,0.0529,169.895,4,https://api.spotify.com/v1/tracks/39FwE8edwuyiaa4PrGBkP7,audio_features,spotify:track:39FwE8edwuyiaa4PrGBkP7,0.649
13,0.255,https://api.spotify.com/v1/audio-analysis/5yIiXdLRE85OBiQmCaUenq,0.576,215720,0.726,5yIiXdLRE85OBiQmCaUenq,0.0,11,0.108,-4.625,1,0.035,136.802,4,https://api.spotify.com/v1/tracks/5yIiXdLRE85OBiQmCaUenq,audio_features,spotify:track:5yIiXdLRE85OBiQmCaUenq,0.582
14,0.0241,https://api.spotify.com/v1/audio-analysis/1B5FYFidz18CrtMttAVMgw,0.678,230853,0.904,1B5FYFidz18CrtMttAVMgw,0.0,0,0.0958,-4.702,1,0.0438,114.001,4,https://api.spotify.com/v1/tracks/1B5FYFidz18CrtMttAVMgw,audio_features,spotify:track:1B5FYFidz18CrtMttAVMgw,0.824
15,0.146,https://api.spotify.com/v1/audio-analysis/1zvQt99d5oTkEQLmSoO1yu,0.572,239507,0.529,1zvQt99d5oTkEQLmSoO1yu,0.0,0,0.335,-6.897,1,0.0282,139.876,4,https://api.spotify.com/v1/tracks/1zvQt99d5oTkEQLmSoO1yu,audio_features,spotify:track:1zvQt99d5oTkEQLmSoO1yu,0.321
16,0.555,https://api.spotify.com/v1/audio-analysis/15NGPktDl1wh3kY4rMS9TH,0.583,214813,0.568,15NGPktDl1wh3kY4rMS9TH,0.0,8,0.0953,-7.116,1,0.0335,75.955,4,https://api.spotify.com/v1/tracks/15NGPktDl1wh3kY4rMS9TH,audio_features,spotify:track:15NGPktDl1wh3kY4rMS9TH,0.227
17,0.645,https://api.spotify.com/v1/audio-analysis/4dGJf1SER1T6ooX46vwzRB,0.566,238147,0.713,4dGJf1SER1T6ooX46vwzRB,0.0,6,0.114,-4.25,1,0.0417,169.864,4,https://api.spotify.com/v1/tracks/4dGJf1SER1T6ooX46vwzRB,audio_features,spotify:track:4dGJf1SER1T6ooX46vwzRB,0.807
18,0.479,https://api.spotify.com/v1/audio-analysis/1TbUqVM91aM5hdXicZ5G6P,0.609,204453,0.396,1TbUqVM91aM5hdXicZ5G6P,0.0,5,0.123,-10.461,1,0.0338,73.985,4,https://api.spotify.com/v1/tracks/1TbUqVM91aM5hdXicZ5G6P,audio_features,spotify:track:1TbUqVM91aM5hdXicZ5G6P,0.347
0,0.883,https://api.spotify.com/v1/audio-analysis/0z9UVN8VBHJ9HdfYsOuuNf,0.472,240067,0.3,0z9UVN8VBHJ9HdfYsOuuNf,1.04e-05,7,0.0698,-10.807,1,0.028,144.317,4,https://api.spotify.com/v1/tracks/0z9UVN8VBHJ9HdfYsOuuNf,audio_features,spotify:track:0z9UVN8VBHJ9HdfYsOuuNf,0.289
1,0.0909,https://api.spotify.com/v1/audio-analysis/0vFMQi8ZnOM2y8cuReZTZ2,0.531,240133,0.843,0vFMQi8ZnOM2y8cuReZTZ2,0.0,9,0.0283,-2.569,0,0.0429,136.991,4,https://api.spotify.com/v1/tracks/0vFMQi8ZnOM2y8cuReZTZ2,audio_features,spotify:track:0vFMQi8ZnOM2y8cuReZTZ2,0.392
2,0.0631,https://api.spotify.com/v1/audio-analysis/5vyxXfD5gLlyPxGZMEjtmd,0.452,191947,0.544,5vyxXfD5gLlyPxGZMEjtmd,5.33e-06,4,0.104,-5.423,1,0.0277,133.042,3,https://api.spotify.com/v1/tracks/5vyxXfD5gLlyPxGZMEjtmd,audio_features,spotify:track:5vyxXfD5gLlyPxGZMEjtmd,0.158
3,0.324,https://api.spotify.com/v1/audio-analysis/3jotOB2xxcS0izQtBqwNS6,0.584,225034,0.714,3jotOB2xxcS0izQtBqwNS6,0.00514,9,0.107,-4.454,1,0.0559,92.734,4,https://api.spotify.com/v1/tracks/3jotOB2xxcS0izQtBqwNS6,audio_features,spotify:track:3jotOB2xxcS0izQtBqwNS6,0.199
4,0.868,https://api.spotify.com/v1/audio-analysis/5XzmZjXhMjDHr7ZfJ6DELQ,0.579,188238,0.268,5XzmZjXhMjDHr7ZfJ6DELQ,0.0,2,0.12,-5.65,1,0.0442,205.903,4,https://api.spotify.com/v1/tracks/5XzmZjXhMjDHr7ZfJ6DELQ,audio_features,spotify:track:5XzmZjXhMjDHr7ZfJ6DELQ,0.321
5,0.601,https://api.spotify.com/v1/audio-analysis/5MhsZlmKJG6X5kTHkdwC4B,0.883,166849,0.817,5MhsZlmKJG6X5kTHkdwC4B,0.00449,0,0.11,-5.414,1,0.235,128.078,4,https://api.spotify.com/v1/tracks/5MhsZlmKJG6X5kTHkdwC4B,audio_features,spotify:track:5MhsZlmKJG6X5kTHkdwC4B,0.595
6,0.115,https://api.spotify.com/v1/audio-analysis/7bJwvubZZaoGE1AGEfu8Fi,0.624,197253,0.618,7bJwvubZZaoGE1AGEfu8Fi,3.3e-06,8,0.104,-4.868,1,0.0322,125.036,4,https://api.spotify.com/v1/tracks/7bJwvubZZaoGE1AGEfu8Fi,audio_features,spotify:track:7bJwvubZZaoGE1AGEfu8Fi,0.122
7,0.049,https://api.spotify.com/v1/audio-analysis/7pJgjBf82BrUQ3z7HdQvW1,0.619,227360,0.786,7pJgjBf82BrUQ3z7HdQvW1,0.0,7,0.142,-4.938,0,0.0397,83.048,4,https://api.spotify.com/v1/tracks/7pJgjBf82BrUQ3z7HdQvW1,audio_features,spotify:track:7pJgjBf82BrUQ3z7HdQvW1,0.628
8,0.4,https://api.spotify.com/v1/audio-analysis/4aY0tZIaboefmkBEsjAovI,0.59,222773,0.5,4aY0tZIaboefmkBEsjAovI,0.0,4,0.272,-6.537,1,0.0277,130.675,4,https://api.spotify.com/v1/tracks/4aY0tZIaboefmkBEsjAovI,audio_features,spotify:track:4aY0tZIaboefmkBEsjAovI,0.324
9,0.322,https://api.spotify.com/v1/audio-analysis/7t3yEWJXS4ZZE64JyJDJIg,0.65,205267,0.89,7t3yEWJXS4ZZE64JyJDJIg,0.0,1,0.0543,-2.995,1,0.0366,100.053,4,https://api.spotify.com/v1/tracks/7t3yEWJXS4ZZE64JyJDJIg,audio_features,spotify:track:7t3yEWJXS4ZZE64JyJDJIg,0.757
10,0.07,https://api.spotify.com/v1/audio-analysis/7erJkrUVjOi3yLjOE7dbap,0.514,215147,0.698,7erJkrUVjOi3yLjOE7dbap,0.0,8,0.093,-5.238,1,0.0291,143.873,4,https://api.spotify.com/v1/tracks/7erJkrUVjOi3yLjOE7dbap,audio_features,spotify:track:7erJkrUVjOi3yLjOE7dbap,0.554
11,0.634,https://api.spotify.com/v1/audio-analysis/0IqKeD8ZSP72KbGYyzEcAs,0.566,241688,0.664,0IqKeD8ZSP72KbGYyzEcAs,0.0,4,0.116,-5.303,0,0.0464,128.945,4,https://api.spotify.com/v1/tracks/0IqKeD8ZSP72KbGYyzEcAs,audio_features,spotify:track:0IqKeD8ZSP72KbGYyzEcAs,0.437
12,0.278,https://api.spotify.com/v1/audio-analysis/2mXsZsJBThTaJXbNcg5QD4,0.768,177773,0.809,2mXsZsJBThTaJXbNcg5QD4,0.0,4,0.139,-4.204,0,0.0616,111.989,4,https://api.spotify.com/v1/tracks/2mXsZsJBThTaJXbNcg5QD4,audio_features,spotify:track:2mXsZsJBThTaJXbNcg5QD4,0.748
13,0.474,https://api.spotify.com/v1/audio-analysis/1Slwb6dOYkBlWal1PGtnNg,0.781,281560,0.445,1Slwb6dOYkBlWal1PGtnNg,0.0,2,0.184,-6.061,1,0.0295,78.998,4,https://api.spotify.com/v1/tracks/1Slwb6dOYkBlWal1PGtnNg,audio_features,spotify:track:1Slwb6dOYkBlWal1PGtnNg,0.591
14,0.0197,https://api.spotify.com/v1/audio-analysis/4VrWlk8IQxevMvERoX08iC,0.399,216120,0.787,4VrWlk8IQxevMvERoX08iC,6.07e-05,1,0.0685,-2.88,1,0.0499,117.089,5,https://api.spotify.com/v1/tracks/4VrWlk8IQxevMvERoX08iC,audio_features,spotify:track:4VrWlk8IQxevMvERoX08iC,0.572
15,0.352,https://api.spotify.com/v1/audio-analysis/2xp1Vqov2s6EofvF3NyMkn,0.283,247373,0.462,2xp1Vqov2s6EofvF3NyMkn,0.0,2,0.145,-4.959,1,0.0304,61.698,3,https://api.spotify.com/v1/tracks/2xp1Vqov2s6EofvF3NyMkn,audio_features,spotify:track:2xp1Vqov2s6EofvF3NyMkn,0.197
16,0.0193,https://api.spotify.com/v1/audio-analysis/3Nbcx1svCSzmyYG2I81YCZ,0.69,224293,0.845,3Nbcx1svCSzmyYG2I81YCZ,0.0,9,0.101,-4.676,1,0.0339,114.948,4,https://api.spotify.com/v1/tracks/3Nbcx1svCSzmyYG2I81YCZ,audio_features,spotify:track:3Nbcx1svCSzmyYG2I81YCZ,0.638
17,0.02,https://api.spotify.com/v1/audio-analysis/0gRczqVHrEQQDyizJUtgRc,0.761,185200,0.856,0gRczqVHrEQQDyizJUtgRc,0.0,0,0.149,-3.65,0,0.0731,106.009,4,https://api.spotify.com/v1/tracks/0gRczqVHrEQQDyizJUtgRc,audio_features,spotify:track:0gRczqVHrEQQDyizJUtgRc,0.967
18,0.00577,https://api.spotify.com/v1/audio-analysis/10xcIQQEJSEIOgG1HvS3t9,0.614,169250,0.919,10xcIQQEJSEIOgG1HvS3t9,0.0,11,0.334,-3.011,0,0.0413,104.063,4,https://api.spotify.com/v1/tracks/10xcIQQEJSEIOgG1HvS3t9,audio_features,spotify:track:10xcIQQEJSEIOgG1HvS3t9,0.514
