,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0311,https://api.spotify.com/v1/audio-analysis/0UaMYEvWZi0ZqiDOoHU3YI,0.904,226864,0.813,0UaMYEvWZi0ZqiDOoHU3YI,0.00697,4,0.0471,-7.105,0,0.121,125.461,4,https://api.spotify.com/v1/tracks/0UaMYEvWZi0ZqiDOoHU3YI,audio_features,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,0.81
1,0.0249,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,0.774,198800,0.838,6I9VzXrHxO9rA9A5euc8Ak,0.025,5,0.242,-3.914,0,0.114,143.04,4,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,audio_features,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,0.924
2,0.00238,https://api.spotify.com/v1/audio-analysis/0WqIKmW4BTrj3eJFmnCKMv,0.664,235933,0.758,0WqIKmW4BTrj3eJFmnCKMv,0.0,2,0.0598,-6.583,0,0.21,99.259,4,https://api.spotify.com/v1/tracks/0WqIKmW4BTrj3eJFmnCKMv,audio_features,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,0.701
3,0.202,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,0.891,267267,0.714,1AWQoqb9bSvzTjaLralEkT,0.000234,4,0.0521,-6.055,0,0.14,100.972,4,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,audio_features,spotify:track:1AWQoqb9bSvzTjaLralEkT,0.818
4,0.0561,https://api.spotify.com/v1/audio-analysis/1lzr43nnXAijIGYnCT8M8H,0.853,227600,0.606,1lzr43nnXAijIGYnCT8M8H,0.0,0,0.313,-4.596,1,0.0713,94.759,4,https://api.spotify.com/v1/tracks/1lzr43nnXAijIGYnCT8M8H,audio_features,spotify:track:1lzr43nnXAijIGYnCT8M8H,0.654
5,0.0212,https://api.spotify.com/v1/audio-analysis/0XUfyU2QviPAs6bxSpXYG4,0.881,250373,0.788,0XUfyU2QviPAs6bxSpXYG4,0.0,2,0.0377,-4.669,1,0.168,104.997,4,https://api.spotify.com/v1/tracks/0XUfyU2QviPAs6bxSpXYG4,audio_features,spotify:track:0XUfyU2QviPAs6bxSpXYG4,0.592
6,0.257,https://api.spotify.com/v1/audio-analysis/68vgtRHr7iZHpzGpon6Jlo,0.662,223440,0.507,68vgtRHr7iZHpzGpon6Jlo,0.0,5,0.0465,-8.238,1,0.118,86.412,4,https://api.spotify.com/v1/tracks/68vgtRHr7iZHpzGpon6Jlo,audio_features,spotify:track:68vgtRHr7iZHpzGpon6Jlo,0.676
7,0.158,https://api.spotify.com/v1/audio-analysis/3BxWKCI06eQ5Od8TY2JBeA,0.544,225560,0.823,3BxWKCI06eQ5Od8TY2JBeA,0.0,2,0.268,-4.318,1,0.32,210.75,4,https://api.spotify.com/v1/tracks/3BxWKCI06eQ5Od8TY2JBeA,audio_features,spotify:track:3BxWKCI06eQ5Od8TY2JBeA,0.434
8,0.273,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,0.713,271333,0.678,7H6ev70Weq6DdpZyyTmUXk,0.0,5,0.149,-3.525,0,0.102,138.009,4,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,audio_features,spotify:track:7H6ev70Weq6DdpZyyTmUXk,0.734
9,0.103,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,0.728,235213,0.974,2PpruBYCo4H7WOBJ7Q2EwM,0.000532,4,0.175,-2.261,0,0.0665,79.526,4,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,audio_features,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,0.965
